file_name,extension,ID,x_start[px]_df1,x_start[px]_df2,y_start[px]_df1,y_start[px]_df2,x_end[px]_df1,x_end[px]_df2,y_end[px]_df1,y_end[px]_df2,ra_start[deg]_df1,ra_start[deg]_df2,dec_start[deg]_df1,dec_start[deg]_df2,ra_end[deg]_df1,ra_end[deg]_df2,dec_end[deg]_df1,dec_end[deg]_df2,JD_start[UTC]_df1,JD_start[UTC]_df2,JD_end[UTC]_df1,JD_end[UTC]_df2,norad_number_df1,norad_number_df2,angle_offset[deg]_df1,angle_offset[deg]_df2,pixel_offset[px]_df1,pixel_offset[px]_df2,range[m]_df1,range[m]_df2,phase_angle[deg]_df1,phase_angle[deg]_df2,ang_vel[deg/s]_df1,ang_vel[deg/s]_df2
OMEGA.2022-01-03T01:18:01.318.fits,23,2,2096.0,2096.0,1793.5,1793.5,1472.0,1472.0,0.0,0.0,34.02035242915021,34.0203848,-21.09937516819156,-21.0993463,33.98096103264658,33.9809934,-21.20579085680793,-21.205762,59582.05503640696,2459582.555036407,59582.05503927497,2459582.555039275,2920.0,2920.0,,0.35,,133.3,,897859.0,,80.67,,0.4791
OMEGA.2022-01-03T01:18:01.318.fits,24,3,752.0,752.0,4100.0,4100.0,48.0,48.0,2050.0,2050.0,34.070516490210764,34.0705488,-20.96250889977303,-20.96248,34.02615665187189,34.026189,-21.084154787119232,-21.0841259,59582.05503307097,2459582.555033071,59582.055035938974,2459582.555035939,2920.0,2920.0,,0.13,,145.8,,897828.0,,80.57,,0.4791
OMEGA.2022-01-03T01:18:01.318.fits,28,4,2096.0,2096.0,4007.6,4007.6,768.0,768.0,100.0,100.0,34.15499411085507,34.1550264,-20.72805748548633,-20.7280308,34.07152447287516,34.0715568,-20.959956981951592,-20.9599281,59582.05502695497,2459582.555026955,59582.05503288098,2459582.555032881,2920.0,2920.0,,0.05,,147.5,,897793.0,,80.43,,0.4792
OMEGA.2022-01-03T02:20:08.139.fits,4,5,1504.0,1504.0,4100.0,4100.0,2096.0,2096.0,1697.4,1697.4,36.27878953294328,36.2787616,-6.045664243024494,-6.0456346,36.42199554779104,36.4219672,-6.010479366161643,-6.0104497,59582.09752353095,2459582.597523531,59582.09755383199,2459582.597553832,26898.0,26898.0,,0.26,,312.0,,6134541.0,,71.56,,0.0569
OMEGA.2022-01-03T02:20:08.139.fits,8,6,448.0,448.0,4100.0,4100.0,1424.0,1424.0,0.0,0.0,36.01295622039831,36.0129283,-6.108334953741955,-6.1083053,36.25738934123616,36.2573614,-6.050417074862386,-6.0503874,59582.09746737499,2459582.597467375,59582.09751880402,2459582.597518804,26898.0,26898.0,,0.16,,318.8,,6119288.0,,71.81,,0.0572
OMEGA.2022-01-03T02:20:08.139.fits,11,1,1584.0,1584.0,4200.0,4200.0,2096.0,2096.0,2117.7,2117.7,35.7659062372569,35.7658783,-6.1679196518465815,-6.16789,35.89008152027663,35.8900525,-6.137608206975436,-6.1375785,59582.09741538903,2459582.597415389,59582.09744152008,2459582.59744152,26898.0,26898.0,,0.29,,321.0,,6103588.0,,72.08,,0.05752
OMEGA.2022-01-03T02:20:08.139.fits,12,2,48.0,48.0,1701.6,1701.6,432.0,432.0,100.0,100.0,35.91489353541386,35.9148678,-6.132040425329453,-6.1320108,36.010392361086694,36.0103644,-6.1092835233144935,-6.1092539,59582.09744652501,2459582.597446525,59582.09746681806,2459582.597466818,26898.0,26898.0,,0.05,,320.0,,6111471.0,,71.94,,0.05736
OMEGA.2022-01-03T02:20:08.139.fits,15,3,528.0,528.0,4200.0,4200.0,1504.0,1504.0,100.0,100.0,35.49984520284661,35.4998173,-6.230334179773216,-6.2303045,35.7443775171475,35.7443496,-6.172652110530434,-6.1726224,59582.09735979,2459582.59735979,59582.0974109401,2459582.59741094,26898.0,26898.0,,0.1,,325.9,,6089121.0,,72.32,,0.05781
OMEGA.2022-01-03T04:26:59.650.fits,26,5,48.0,48.0,1093.0,1093.0,2096.0,2096.0,676.3,676.3,149.2080572004459,149.2080828,-0.3795898396517812,-0.379562,149.32947720645117,149.3295028,-0.4042914461344885,-0.4042611,59582.18568964396,2459582.685689644,59582.18621297693,2459582.686212977,27040.0,27040.0,,0.8,,99.5,,31776688.0,,50.16,,0.003081
OMEGA.2022-01-03T04:26:59.650.fits,27,6,48.0,48.0,612.5,612.5,496.0,496.0,523.4,523.4,149.33510954613692,149.3351351,-0.4080736853214836,-0.408044,149.36167000668527,149.3616956,-0.4133551232936064,-0.4133247,59582.18618182,2459582.68618182,59582.1862837458,2459582.686283746,27040.0,27040.0,,1.03,,123.0,,31813743.0,,50.23,,0.003075
