file_name,extension,ID,x_start[px],y_start[px],x_end[px],y_end[px],ang_vel[deg/s]
OMEGA.2022-01-03T07:26:28.711.fits,10,1,1403.05,120.87,1915.87,4162.46,0.3996
OMEGA.2022-01-03T07:26:28.711.fits,14,2,1977.4,209.67,2067.83,1105.29,0.4001
OMEGA.2022-01-03T07:26:28.711.fits,17,4,1546.15,4083.98,1408.33,46.33,0.4663
OMEGA.2022-01-03T07:26:28.711.fits,2,5,309.96,7.3,808.7,4008.33,0.3983
OMEGA.2022-01-03T07:26:28.711.fits,25,6,1844.34,4156.76,1703.45,127.22,0.4683
OMEGA.2022-01-03T07:26:28.711.fits,29,7,1988.07,4192.5,1845.78,139.0,0.4692
OMEGA.2022-01-03T07:26:28.711.fits,6,8,879.55,39.45,1391.35,4087.22,0.399
OMEGA.2022-01-03T04:26:59.650.fits,26,5,55.03,1099.36,2085.87,654.41,0.003081
OMEGA.2022-01-03T04:26:59.650.fits,27,6,57.63,628.26,503.11,530.87,0.003075
OMEGA.2022-01-03T04:26:59.650.fits,29,7,53.82,771.16,2087.16,416.73,0.004661
OMEGA.2022-01-03T04:26:59.650.fits,30,8,56.03,402.16,1615.77,126.0,0.004661
OMEGA.2022-01-03T00:33:56.321.fits,28,1,1504.71,3570.63,2076.62,3580.86,0.004768
OMEGA.2022-01-16T01:33:46.593.fits,16,1,239.64,4191.93,2084.44,3470.09,0.05531
OMEGA.2022-01-16T01:33:46.593.fits,29,2,57.69,3425.88,2085.39,2633.56,0.0555
OMEGA.2022-01-16T01:33:46.593.fits,30,3,51.21,2596.99,2084.49,1799.74,0.05569
OMEGA.2022-01-16T01:33:46.593.fits,31,4,60.3,1754.03,2086.29,960.08,0.05589
OMEGA.2022-01-16T01:33:46.593.fits,32,5,58.88,917.64,2085.28,124.77,0.05608
OMEGA.2022-01-16T01:11:56.269.fits,17,1,65.36,2194.71,1770.76,3974.55,0.7208
OMEGA.2022-01-16T01:11:56.269.fits,22,2,114.29,19.47,2080.3,2074.49,0.7212
OMEGA.2022-01-16T01:11:56.269.fits,23,3,66.54,2213.6,1860.38,4084.59,0.7215
OMEGA.2022-01-16T01:11:56.269.fits,27,4,1935.85,118.02,2077.44,264.89,0.7216
OMEGA.2022-01-16T01:11:56.269.fits,28,6,66.87,399.38,2079.8,2509.16,0.7219
OMEGA.2022-01-16T01:11:56.269.fits,4,7,119.45,18.03,2084.17,2067.37,0.7205
OMEGA.2022-01-16T01:05:51.698.fits,4,1,1842.5,4063.02,1772.6,15.62,0.3302
OMEGA.2022-01-16T01:05:51.698.fits,8,2,1911.17,3619.06,1852.48,100.55,0.3299
OMEGA.2022-01-25T05:20:54.592.fits,17,1,53.21,291.18,1364.63,11.04,0.004759
OMEGA.2022-01-25T05:20:54.592.fits,3,2,1109.69,983.0,2087.55,773.73,0.004758
OMEGA.2022-01-25T05:20:54.592.fits,4,3,55.25,751.49,2081.42,318.1,0.004758
OMEGA.2022-01-25T05:14:50.021.fits,1,1,144.57,2254.02,2084.98,1840.4,0.004758
OMEGA.2022-01-25T03:07:35.539.fits,13,3,126.05,3726.45,2082.01,3713.85,0.0316
OMEGA.2022-01-25T03:07:35.539.fits,14,4,66.12,3710.06,2082.09,3698.12,0.0316
OMEGA.2022-01-25T03:07:35.539.fits,15,5,53.57,3698.28,2077.53,3686.33,0.0316
OMEGA.2022-01-25T03:07:35.539.fits,16,6,64.51,3686.8,2088.49,3677.52,0.0316
OMEGA.2022-01-25T03:07:35.539.fits,29,8,53.61,3678.46,2077.58,3668.19,0.0316
OMEGA.2022-01-25T03:07:35.539.fits,30,10,52.61,3673.15,2086.58,3661.0,0.03159
