file_name,extension,ID,x_start[px],y_start[px],x_end[px],y_end[px],ra_start[deg],dec_start[deg],ra_end[deg],dec_end[deg],JD_start[UTC],JD_end[UTC],norad_number,angle_offset[deg],pixel_offset[px],range[m],phase_angle[deg],ang_vel[deg/s]
OMEGA.2022-01-19T04:27:33.607.fits,31,7,48.0,1765.6,2096.0,996.6,173.1637233948844,-43.84104333394455,173.332454693321,-43.88598645062879,59598.1879756148,59598.18798682187,25650.0,,,,,
OMEGA.2022-01-19T04:27:33.607.fits,32,8,48.0,964.8,2096.0,195.8,173.34003886598046,-43.88783680965653,173.50903179121082,-43.93251921049824,59598.18798729079,59598.18799849786,25650.0,,,,,
OMEGA.2022-01-19T01:58:42.111.fits,17,1,1888.0,4100.0,880.0,0.0,37.80537719831293,-21.424813250438014,37.74127247782236,-21.66790805825769,59598.08289045701,59598.08290055208,48243.0,,,,,
OMEGA.2022-01-19T01:58:42.111.fits,22,2,832.0,4100.0,48.0,864.8,37.87401259208353,-21.16039678971842,37.824351373786975,-21.352245709290752,59598.08287933702,59598.08288748609,48243.0,,,,,
OMEGA.2022-01-19T01:58:42.111.fits,26,3,1840.0,4200.0,832.0,100.0,37.9376751760289,-20.914695447060968,37.87400935350853,-21.157847500676997,59598.082869051024,59598.082879146095,48243.0,,,,,
OMEGA.2022-01-19T01:58:42.111.fits,30,5,2096.0,804.4,1920.0,100.0,37.95380837156334,-20.85150963050532,37.942715399856745,-20.893286291584577,59598.08286654903,59598.0828683041,48243.0,,,,,
OMEGA.2022-01-19T01:58:42.111.fits,31,6,784.0,4200.0,48.0,1125.0,38.00609139431758,-20.650121308530927,37.959799975356944,-20.83249383038604,59598.08285793103,59598.082865802106,48243.0,,,,,
OMEGA.2022-01-22T04:46:34.403.fits,1,1,1456.0,0.0,2096.0,1793.5,172.19751851048292,-44.71740752870123,172.25189207419612,-44.61135357709348,59601.20067580696,59601.20078347996,32379.0,,,,,
OMEGA.2022-01-22T04:46:34.403.fits,11,2,208.0,100.0,1664.0,4200.0,172.4534185157406,-44.20848242234612,172.57473470577293,-43.96570446220166,59601.20119372103,59601.20144178392,32379.0,,,,,
OMEGA.2022-01-22T04:46:34.403.fits,16,4,48.0,1157.0,1120.0,4200.0,172.6183065818104,-43.88171297284477,172.7067387280259,-43.70141459254984,59601.20152843278,59601.20171311218,32379.0,,,,,
