file_name,extension,ID,x_start[px],y_start[px],x_end[px],y_end[px],ang_vel[deg/s]
OMEGA.2022-01-25T03:49:39.317.fits,23,1,48.0,1697.7,2096.0,1152.9,0.00633
OMEGA.2022-01-25T03:49:39.317.fits,24,2,48.0,1121.1,2096.0,576.3,0.006303
OMEGA.2022-01-04T01:17:13.178.astred.cal.fits,18,2,688.0,0.0,400.0,4100.0,0.7383
OMEGA.2022-01-04T01:17:13.178.astred.cal.fits,22,3,384.0,0.0,112.0,4100.0,0.7376
OMEGA.2022-01-04T01:17:13.178.astred.cal.fits,25,4,2096.0,2470.1,1984.0,4200.0,0.7368
OMEGA.2022-01-04T01:17:13.178.astred.cal.fits,29,6,1952.0,100.0,1680.0,4200.0,0.7362
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,13,2,48.0,260.2,2096.0,420.1,0.004651
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,14,3,48.0,388.3,2096.0,580.2,0.00465
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,15,6,48.0,548.4,2096.0,708.3,0.00465
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,16,7,48.0,676.6,2096.0,836.5,0.00465
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,22,8,48.0,1778.0,2096.0,1901.0,0.004683
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,23,9,48.0,1905.0,2096.0,2024.0,0.004682
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,24,10,48.0,2031.0,2096.0,2145.8,0.004682
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,6,18,469.0,1306.0,2096.0,1401.0,0.004683
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,7,20,48.0,1410.0,2096.0,1526.0,0.004683
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,8,24,48.0,1529.0,2096.0,1646.0,0.004683
OMEGA.2022-01-04T03:15:01.467.astred.cal.fits,31,3,48.0,1060.9,2096.0,1220.8,0.00465
OMEGA.2022-01-04T01:49:30.183.astred.cal.fits,22,1,48.0,416.4,2096.0,576.3,0.4325
OMEGA.2022-01-04T01:49:30.183.astred.cal.fits,23,2,48.0,544.5,2096.0,736.5,0.4319
OMEGA.2022-01-04T01:49:30.183.astred.cal.fits,24,3,48.0,704.7,2096.0,864.6,0.4313
OMEGA.2022-01-04T01:49:30.183.astred.cal.fits,7,4,48.0,0.0,2096.0,127.9,0.4344
OMEGA.2022-01-04T01:49:30.183.astred.cal.fits,8,5,48.0,96.1,2096.0,288.0,0.4338
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,10,2,48.0,708.6,720.0,100.0,0.02266
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,17,5,48.0,3491.4,2096.0,1665.4,0.02259
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,18,6,48.0,1601.6,1840.0,0.0,0.02258
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,4,7,1504.0,4100.0,2096.0,3587.2,0.02261
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,6,8,848.0,4100.0,2096.0,2946.6,0.02265
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,6,9,736.0,4100.0,2096.0,2946.6,0.02265
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,7,10,48.0,2850.8,2096.0,1056.8,0.02264
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,8,11,48.0,928.9,1120.0,0.0,0.02262
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,9,12,48.0,2630.5,2096.0,804.4,0.02267
OMEGA.2022-01-09T00:57:12.382.fits,10,1,48.0,2982.8,2096.0,3366.9,0.1173
OMEGA.2022-01-09T00:57:12.382.fits,11,2,48.0,3367.2,2096.0,3751.3,0.117
OMEGA.2022-01-09T00:57:12.382.fits,12,3,48.0,3751.6,2096.0,4135.7,0.1168
OMEGA.2022-01-09T00:57:12.382.fits,25,4,48.0,4135.9,336.0,4200.0,0.1166
OMEGA.2022-01-09T00:57:12.382.fits,30,5,192.0,100.0,2096.0,452.1,0.1163
OMEGA.2022-01-09T00:57:12.382.fits,31,6,48.0,420.3,2096.0,804.4,0.1161
OMEGA.2022-01-09T00:57:12.382.fits,32,7,48.0,804.7,2096.0,1188.8,0.1159
OMEGA.2022-01-09T00:57:12.382.fits,9,9,48.0,2630.5,2096.0,3014.6,0.1175
OMEGA.2022-01-09T01:31:30.618.fits,17,1,464.0,0.0,2096.0,2882.6,0.3396
OMEGA.2022-01-09T01:31:30.618.fits,22,3,848.0,0.0,2096.0,2209.9,0.34
OMEGA.2022-01-09T01:31:30.618.fits,27,5,1056.0,100.0,2096.0,1925.5,0.3402
OMEGA.2022-01-09T01:31:30.618.fits,28,6,48.0,2085.9,1232.0,4200.0,0.3404
OMEGA.2022-01-09T01:31:30.618.fits,32,7,1440.0,100.0,2096.0,1284.9,0.3405
OMEGA.2022-01-26T08:07:16.556.fits,31,1,1760.0,4200.0,2096.0,3623.2,0.4197
OMEGA.2022-01-26T08:07:16.556.fits,32,2,48.0,3431.2,1888.0,100.0,0.4187
OMEGA.2022-01-26T04:12:07.539.fits,13,3,48.0,2278.1,2096.0,2053.7,0.005971
OMEGA.2022-01-26T04:12:07.539.fits,14,4,48.0,2021.9,2096.0,1797.4,0.005952
OMEGA.2022-01-26T04:12:07.539.fits,15,5,48.0,1765.6,2096.0,1541.2,0.005932
OMEGA.2022-01-26T04:12:07.539.fits,16,7,48.0,1509.4,2096.0,1284.9,0.005913
OMEGA.2022-01-26T04:12:07.539.fits,29,11,48.0,1253.1,2096.0,1028.7,0.005894
OMEGA.2022-01-26T04:12:07.539.fits,30,12,48.0,964.8,2096.0,740.4,0.005875
OMEGA.2022-01-26T04:12:07.539.fits,31,13,48.0,708.6,2096.0,484.1,0.005856
OMEGA.2022-01-26T04:12:07.539.fits,32,15,48.0,452.3,2096.0,227.9,0.005837
