file_name,IRSKY_TEMP,TEMP,WINDSP,PRES,FWHM,RHUM,TAU0
OMEGA.2022-01-31T01:10:46.805.fits,-93.1,12.21,3.08,743.9,0.56,18.0,0.016623
OMEGA.2022-01-31T02:25:38.607.fits,-94.1,11.7,3.17,744.2,0.46,24.0,0.012347
OMEGA.2022-01-31T02:38:03.310.fits,-94.1,11.68,2.45,744.1,0.79,22.0,0.013491
OMEGA.2022-01-31T02:51:59.662.fits,-94.0,11.73,2.8,744.1,0.77,22.0,0.012621
OMEGA.2022-01-31T02:19:34.157.fits,-93.9,12.09,2.53,744.1,0.49,24.0,0.016487
OMEGA.2022-01-31T02:56:50.153.fits,-94.0,11.7,2.0,744.2,0.92,19.0,0.01941
OMEGA.2022-01-12T01:18:35.369.astred.cal.fits,-70.5,13.89,6.9,745.8,0.52,11.0,0.008139
OMEGA.2022-01-12T01:46:13.423.astred.cal.fits,-69.9,14.16,7.3,745.8,0.4,23.0,0.007341
OMEGA.2022-01-12T02:17:31.769.astred.cal.fits,-69.7,13.77,6.65,746.1,0.69,23.0,0.006903
OMEGA.2022-01-12T02:35:45.432.astred.cal.fits,-69.0,14.12,6.3,746.1,0.74,28.0,0.005852
OMEGA.2022-01-07T01:34:16.114.fits,-92.5,13.96,5.13,743.5,0.67,12.0,0.009633
OMEGA.2022-01-07T01:23:52.192.fits,-92.5,14.73,5.03,743.5,0.73,12.0,0.007241
OMEGA.2022-01-07T01:17:47.341.fits,-92.8,14.81,4.08,743.5,0.77,11.0,0.008806
OMEGA.2022-01-07T01:40:20.875.fits,-91.8,14.01,5.38,743.6,0.59,12.0,0.008882
OMEGA.2022-01-07T02:19:39.241.fits,-91.8,13.89,5.2,744.0,0.62,14.0,0.015522
OMEGA.2022-01-07T03:36:21.804.fits,-92.3,14.04,7.97,744.0,0.63,12.0,0.006386
OMEGA.2022-01-07T03:42:26.405.fits,-93.0,13.96,8.6,743.9,0.57,12.0,0.006605
OMEGA.2022-01-29T01:54:44.804.fits,-93.7,14.77,4.25,744.1,0.87,6.0,0.008146
OMEGA.2022-01-29T02:51:24.613.fits,-94.6,14.98,4.35,744.2,0.7,6.0,0.011007
OMEGA.2022-01-29T01:36:30.491.fits,-93.3,15.0,5.15,744.0,0.76,5.0,0.010142
OMEGA.2022-01-29T01:09:50.957.fits,-93.4,15.34,5.9,743.8,0.78,4.0,0.008666
OMEGA.2022-01-29T01:48:39.442.fits,-93.7,14.7,4.3,744.1,0.8,6.0,0.008109
OMEGA.2022-01-29T00:50:18.164.fits,-93.4,15.13,5.22,743.8,0.98,4.0,0.004953
OMEGA.2022-01-29T01:42:34.952.fits,-93.5,15.0,4.08,744.0,0.72,5.0,0.008407
OMEGA.2022-01-29T01:22:00.089.fits,-93.3,15.2,5.25,743.9,0.7,4.0,0.007334
OMEGA.2022-01-29T02:24:16.978.fits,-94.0,14.68,4.8,744.2,0.79,7.0,0.008374
OMEGA.2022-01-29T02:53:09.073.fits,-94.6,14.92,4.3,744.3,0.91,6.0,0.007402
OMEGA.2022-01-29T06:01:04.992.fits,-94.0,13.98,1.43,743.4,0.68,8.0,0.020286
OMEGA.2022-01-29T02:49:40.142.fits,-94.6,15.1,4.13,744.2,0.65,6.0,0.011007
OMEGA.2022-01-29T02:06:03.645.fits,-93.7,14.64,4.58,744.1,0.67,6.0,0.010439
OMEGA.2022-01-29T02:18:12.528.fits,-94.0,14.84,4.95,744.2,0.62,6.0,0.007616
