file_name,IRSKY_TEMP,TEMP,WINDSP,PRES,PRES,FWHM,FWHM,RHUM,TAU0
OMEGA.2022-01-04T03:15:01.467.astred.cal.fits,-92.9,15.07,3.15,745.2,745.1,0.69,0.64,7.0,0.010465
OMEGA.2022-01-04T03:36:09.901.astred.cal.fits,-93.3,14.74,1.88,745.1,745.1,0.64,0.64,10.0,0.016707
OMEGA.2022-01-04T03:36:09.901.astred.cal.fits,-93.3,14.74,1.88,745.1,745.1,0.64,0.64,10.0,0.016707
OMEGA.2022-01-04T03:36:09.901.astred.cal.fits,-93.3,14.74,1.88,745.1,745.1,0.64,0.64,10.0,0.016707
OMEGA.2022-01-04T03:36:09.901.astred.cal.fits,-93.3,14.74,1.88,745.1,745.1,0.64,0.64,10.0,0.016707
OMEGA.2022-01-04T03:36:09.901.astred.cal.fits,-93.3,14.74,1.88,745.1,745.1,0.64,0.64,10.0,0.016707
OMEGA.2022-01-04T03:36:09.901.astred.cal.fits,-93.3,14.74,1.88,745.1,745.1,0.64,0.64,10.0,0.016707
OMEGA.2022-01-04T03:36:09.901.astred.cal.fits,-93.3,14.74,1.88,745.1,745.1,0.64,0.64,10.0,0.016707
OMEGA.2022-01-04T04:12:21.796.astred.cal.fits,-93.4,15.68,1.25,744.8,744.7,0.64,0.59,8.0,0.011255
OMEGA.2022-01-04T07:54:15.943.astred.cal.fits,-94.4,14.66,0.75,743.3,743.3,0.59,0.62,10.0,0.02608
OMEGA.2022-01-04T07:54:15.943.astred.cal.fits,-94.4,14.66,0.75,743.3,743.3,0.59,0.62,10.0,0.02608
OMEGA.2022-01-04T07:54:15.943.astred.cal.fits,-94.4,14.66,0.75,743.3,743.3,0.59,0.62,10.0,0.02608
OMEGA.2022-01-04T07:54:15.943.astred.cal.fits,-94.4,14.66,0.75,743.3,743.3,0.59,0.62,10.0,0.02608
OMEGA.2022-01-04T08:00:20.403.astred.cal.fits,-94.9,14.5,0.28,743.3,743.2,0.62,0.57,10.0,0.02082
OMEGA.2022-01-04T08:00:20.403.astred.cal.fits,-94.9,14.5,0.28,743.3,743.2,0.62,0.57,10.0,0.02082
OMEGA.2022-01-04T08:00:20.403.astred.cal.fits,-94.9,14.5,0.28,743.3,743.2,0.62,0.57,10.0,0.02082
OMEGA.2022-01-04T08:00:20.403.astred.cal.fits,-94.9,14.5,0.28,743.3,743.2,0.62,0.57,10.0,0.02082
OMEGA.2022-01-04T08:00:20.403.astred.cal.fits,-94.9,14.5,0.28,743.3,743.2,0.62,0.57,10.0,0.02082
OMEGA.2022-01-04T08:00:20.403.astred.cal.fits,-94.9,14.5,0.28,743.3,743.2,0.62,0.57,10.0,0.02082
OMEGA.2022-01-04T08:00:20.403.astred.cal.fits,-94.9,14.5,0.28,743.3,743.2,0.62,0.57,10.0,0.02082
OMEGA.2022-01-04T08:00:20.403.astred.cal.fits,-94.9,14.5,0.28,743.3,743.2,0.62,0.57,10.0,0.02082
OMEGA.2022-01-04T08:00:20.403.astred.cal.fits,-94.9,14.5,0.28,743.3,743.2,0.62,0.57,10.0,0.02082
OMEGA.2022-01-04T08:12:29.356.astred.cal.fits,-94.9,14.7,0.73,743.2,743.3,0.55,0.55,9.0,0.021584
OMEGA.2022-01-04T08:12:29.356.astred.cal.fits,-94.9,14.7,0.73,743.2,743.3,0.55,0.55,9.0,0.021584
